,Unnamed: 0.3,Unnamed: 0,Video,Timestamp,Transcript at Timestamp,Score,category 1 of text,"category 2 of text (subcategory, if applicable)",emotion of comedian at timestamp,action of comedian at timestamp,gesticulating,buildup vs punchline,link,Unnamed: 0.1,Unnamed: 0.2,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
0,0,0,https://www.youtube.com/watch?v=TBORj28AtCE,0:00,I'm latina you know I realized that the older I get there's certain-,1,personal,,normal,walking,Yes,buildup,,0,0,1.142497237,1.450717237,-0.466849238,-1.497771455,1.354035664,-1.418994038,0.95192815,-0.98591174,0.382865605,-1.069747729,0.216658147,-0.208673877,0.149246036
1,1,1,,0:04,yeah we got Latinos,1,audience,,amused,standing,Yes,buildup,,1,1,1.330214054,1.391467367,-0.151734315,-1.488856968,0.854864554,-1.592920542,0.869125963,-1.247220158,0.37849223,-0.996513809,0.232491674,-0.103318617,0.523908569
2,2,2,,0:09,in the back and in the balcony ah look at that,1,personal,stereotype,amused,standing,Yes,punchline,,2,2,1.116037698,1.373127112,-0.358443371,-1.501836964,1.161853715,-1.655109111,1.061193772,-1.02109325,0.441999584,-0.955178076,0.110817747,-0.088230706,0.31486185
3,3,3,,0:15,no 'cause we got here late,1,imitation,stereotype,annoyed,miming,Yes,punchline,,3,3,1.063685391,1.261138054,-0.427173972,-1.528091147,1.219175471,-1.766037089,1.021461073,-0.956804474,0.504930421,-0.876569567,0.285164845,-0.090121048,0.289242041
4,4,4,,0:22,Hey I'm Latino you know and I realized that the older I get,0,personal,,normal,walking,Yes,buildup,,4,4,1.072981804,1.41480431,-0.554805643,-1.572826382,1.181822764,-1.651092214,1.03363619,-0.723639205,0.634158882,-0.929773276,0.178867177,-0.197646873,0.113512466
5,5,5,,0:25,there's certain things I can't do,0,personal,,normal,walking,Yes,buildup,,5,5,0.961236431,1.161365051,-0.853774734,-1.568883528,1.644495695,-1.151638144,1.084165284,-0.401592733,0.844294443,-1.074405093,0.085911635,-0.483343636,-0.247830672
6,6,6,,0:27,because there's stereotypes and it,0,personal,,normal,walking,Yes,buildup,,6,6,0.873483052,0.889396943,-0.985110843,-1.24416047,1.748919155,-1.560946731,1.345652271,-0.136963539,0.5339396,-1.112986294,-0.054079717,-0.022262322,-0.274881105
7,7,7,,0:28,doesn't look right you know,0,personal,,normal,standing,Yes,buildup,,7,7,0.964538675,1.384766494,-0.643732334,-1.440861754,1.470016691,-1.425762406,1.210044595,-0.610508348,0.38019229,-1.125004581,0.299881958,-0.12367164,-0.33989964
8,8,8,,0:30,"a couple years ago I did a white guy, on our fourth date he's like",0,personal,,normal,walking,No,buildup,,8,8,0.958523812,1.213704527,-0.864215423,-1.652957276,1.422117411,-1.410345794,1.165074823,-0.609129152,0.519654189,-0.99276194,0.357127485,-0.042733508,-0.064059154
9,9,9,,0:32,"""hey this weekend",0,one man conversation,imitation,serious,standing,No,buildup,,9,9,0.995650022,1.263006215,-0.742106318,-1.28970691,1.558114328,-1.596516198,1.251313567,-0.468967404,0.649742341,-0.895571297,-0.098266763,-0.254652743,-0.372038839
10,10,10,,0:34,let's drive upstate go pick some apples,0,one man conversation,imitation,serious,standing,No,buildup,,10,10,0.798538188,0.652194985,-1.221720409,-1.207052026,1.673557418,-1.481084854,1.780814633,-0.586316904,0.4495915,-0.311184985,-0.208971579,0.02835761,-0.366723577
11,11,11,,0:37,"it'll be nice""",1,one man conversation,imitation,angry,turning,No,buildup,,11,11,0.902322966,1.14297489,-0.327732324,-1.458441821,1.319004008,-1.876627751,1.150631567,-1.097430826,0.537496578,-0.656282716,0.214717614,-0.123156098,0.272523914
12,12,12,,0:55,"""what""",1,one man conversation,personal,angry,standing,No,buildup,,12,12,0.96172893,1.127887885,-0.563479607,-1.426156256,1.489729603,-1.766430995,1.034648091,-1.197013112,0.478209956,-0.516331771,0.239024539,-0.083621454,0.221804193
13,13,13,,0:57,"""yeah this weekend we'll drive upstate we'll go pick some apples it'll be romantic""",0,one man conversation,imitation,serious,walking,Yes,buildup,,13,13,0.934942826,1.07280778,-0.848379268,-1.376739398,1.665014401,-1.495894592,1.109483859,-0.565167746,0.342618123,-1.224847743,0.29783215,0.255375371,-0.167045762
